station_name,latitude,longitude,province,source,district
"Quang Tri, Vietnam",16.705646,107.163386,Tỉnh Quảng Trị,tomtom_fix,
"Vietnam 3 PurpleAir, Quang Tri, Quang Tri, Vietnam",16.7386,107.0911,Tỉnh Quảng Trị,original,Xã Ái Tử
"Son La P To Hieu KTTV Tram cam bien, Son La, Son La, Vietnam",21.325,103.918,Tỉnh Sơn La,original,Phường Tô Hiệu
"Son La, Son La, Vietnam",21.325,103.918,Tỉnh Sơn La,original,Phường Tô Hiệu
"Son La, Vietnam",21.325,103.918,Tỉnh Sơn La,original,Phường Tô Hiệu
"Tay Ninh Phuong 3 TP Tay Ninh, Tay Ninh, Tay Ninh, Vietnam",11.3667,106.1333,Tỉnh Tây Ninh,original,Phường Bình Minh
"Tay Ninh, Tay Ninh, Vietnam",11.327715,106.10414,Tỉnh Tây Ninh,aqicn_fuzzy,Phường Tân Ninh
"Tay Ninh, Vietnam",11.3667,106.1333,Tỉnh Tây Ninh,original,Phường Bình Minh
"Bo Xuyen, Thanh pho Thai Binh, Thai Binh, Vietnam",20.453535,106.340532,Tỉnh Hưng Yên,tomtom_fix,
"Phu Xuan, Thai Binh, Thai Binh Province, Vietnam",16.4746072,107.5770136,Thành phố Huế,tomtom_fix,Phường Phú Xuân
"Thai Binh Province, Vietnam",20.472891,106.31215,Tỉnh Hưng Yên,tomtom_fix,
"Thai Binh, Thai Binh Province, Vietnam",20.472891,106.31215,Tỉnh Hưng Yên,tomtom_fix,
"Thai Binh, Vietnam",20.472891,106.31215,Tỉnh Hưng Yên,tomtom_fix,
"Thanh pho Thai Binh, Thai Binh, Vietnam",10.76948,106.704307,Thành phố Thủ Đức,tomtom_fix,Phường Sài Gòn
"Mo Che, Thanh pho Song Cong, Thai Nguyen, Vietnam",10.769626,106.703028,Thành phố Thủ Đức,tomtom_fix,Phường Sài Gòn
"Quan Trieu, Thanh pho Thai Nguyen, Thai Nguyen, Vietnam",21.6080038,105.8173548,Tỉnh Thái Nguyên,tomtom_fix,
"Thai Nguyen Hung Vuong Street Thai Nguyen City, Thai Nguyen, Thai Nguyen, Vietnam",10.3592436,107.0790306,Vũng Tàu,tomtom_fix,
"Thai Nguyen, Thai Nguyen, Vietnam",22.022294,105.825354,Tỉnh Thái Nguyên,tomtom_fix,Xã Tân Kỳ
"Thanh pho Song Cong, Thai Nguyen, Vietnam",10.769626,106.703028,Thành phố Thủ Đức,tomtom_fix,Phường Sài Gòn
"Thanh pho Thai Nguyen, Thai Nguyen, Vietnam",10.76948,106.704307,Thành phố Thủ Đức,tomtom_fix,Phường Sài Gòn
"Trung Thanh, Thanh pho Thai Nguyen, Thai Nguyen, Vietnam",12.254,109.19236,Khánh Hòa,tomtom_fix,
"Nghi Son, Thanh Hoa Province, Vietnam",19.804,105.4392,Tỉnh Thanh Hóa,original,Xã Thọ Bình
"Phuong Tinh Hai, Nghi Son, Thanh Hoa Province, Vietnam",19.804,105.4392,Tỉnh Thanh Hóa,original,Xã Thọ Bình
"Thanh Hoa Province, Vietnam",19.804,105.4392,Tỉnh Thanh Hóa,original,Xã Thọ Bình
"Hue, Thua Thien Hue, Vietnam",16.4678,107.5906,Thành phố Huế,original,
"Thua Thien Hue 83 Hung Vuong, Hue, Thua Thien Hue, Vietnam",16.4678,107.5906,Thành phố Huế,original,
"Thua Thien Hue, Vietnam",16.4678,107.5906,Thành phố Huế,original,
"Khom 9, Thanh pho Tra Vinh, Tra Vinh, Vietnam",9.9475,106.3375,Tỉnh Vĩnh Long,original,Phường Trà Vinh
"Thanh pho Tra Vinh, Tra Vinh, Vietnam",9.9475,106.3375,Tỉnh Vĩnh Long,original,Phường Trà Vinh
"Tra Vinh xa Dan Thanh, Tra Vinh, Tra Vinh, Vietnam",9.9475,106.3375,Tỉnh Vĩnh Long,original,Phường Trà Vinh
"Tra Vinh xa Dong Hai, Tra Vinh, Tra Vinh, Vietnam",9.9475,106.3375,Tỉnh Vĩnh Long,original,Phường Trà Vinh
"Tra Vinh, Tra Vinh, Vietnam",9.936279,106.341117,Tỉnh Vĩnh Long,tomtom_fix,Phường Trà Vinh
"Ham Yen District, Tuyen Quang Province, Vietnam",21.823,105.2149,Phường Minh Xuân,original,
"Tan Yen, Ham Yen District, Tuyen Quang Province, Vietnam",21.823,105.2149,Phường Minh Xuân,original,
"Tuyen Quang Province, Vietnam",21.823,105.2149,Phường Minh Xuân,original,
"Khom 1, Thi xa Binh Minh, Vinh Long, Vietnam",10.0833,105.9667,Tỉnh Vĩnh Long,original,Xã Cái Ngang
"Khom 3, Thanh pho Vinh Long, Vinh Long, Vietnam",10.0833,105.9667,Tỉnh Vĩnh Long,original,Xã Cái Ngang
"Thanh pho Vinh Long, Vinh Long, Vietnam",10.0833,105.9667,Tỉnh Vĩnh Long,original,Xã Cái Ngang
"Thi xa Binh Minh, Vinh Long, Vietnam",10.0833,105.9667,Tỉnh Vĩnh Long,original,Xã Cái Ngang
"Vinh Long, Vietnam",9.993799,106.293484,Tỉnh Vĩnh Long,tomtom_fix,Xã Nhị Long
